,locality,type,subtype,price,sale_type,rooms,living_area,equipped_kitchen,furnished,fire,terrace,terrace_area,garden,garden_area,plot_surface,facades,pool,state
0,8370,2,DUPLEX,189000,1,1,62,,,0,1,3,,,,,,
1,2300,1,HOUSE,270000,1,3,104,0,,0,1,,,,193,2,,GOOD
2,1050,2,APARTMENT,2950,2,2,138,1,1,0,1,10,,,,2,0,AS_NEW
3,4000,2,APARTMENT,890,2,3,90,0,0,0,1,7,,,,3,0,AS_NEW
4,9300,2,APARTMENT,360000,1,3,138,0,,0,1,8,,,,2,,GOOD
5,1050,2,APARTMENT,1400,2,2,,,,0,,,,,,2,,
6,7062,2,GROUND_FLOOR,670,2,1,50,0,,0,1,,,,,,,GOOD
7,2260,1,HOUSE,990,2,2,142,,0,0,,,,,0,4,,
8,2020,2,APARTMENT,780,2,1,70,0,,0,1,4,,,,2,0,GOOD
9,5640,1,HOUSE,415000,1,6,350,0,0,0,1,50,1,500,689,4,0,GOOD
10,1760,1,VILLA,985000,1,4,400,1,1,0,1,30,1,522,1055,2,1,
11,3290,2,APARTMENT,1125,2,3,131,,,0,1,17,,,,4,,
12,4000,2,APARTMENT,600,2,1,48,0,,0,1,1,,,,,,
13,8560,1,HOUSE,349000,1,3,,,,0,,,,,299,3,,GOOD
14,6210,1,HOUSE,1300,2,3,205,0,0,0,1,30,,,0,2,0,GOOD
15,1360,2,APARTMENT,975,2,2,83,1,0,0,1,8,,,,3,,AS_NEW
16,2600,2,APARTMENT,275000,1,3,119,0,,0,1,11,,,,2,,GOOD
17,7190,2,APARTMENT,980,2,2,115,1,,0,1,12,,,,4,0,AS_NEW
18,2610,2,GROUND_FLOOR,1495,2,3,140,1,0,0,,,1,205,,,,AS_NEW
19,1200,2,APARTMENT,1025,2,1,65,1,0,0,1,5,,,,2,0,GOOD
20,1000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
21,1040,2,GROUND_FLOOR,860,2,1,50,0,0,0,,,,,,,0,GOOD
22,7500,2,KOT,370,2,5,,0,,0,,,,,,2,,GOOD
23,7600,2,APARTMENT,520,2,1,53,0,0,0,,,,,,2,,
24,2200,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
25,1040,2,APARTMENT,1950,2,2,78,1,1,0,,,,,,2,,JUST_RENOVATED
26,9340,2,APARTMENT,850,2,2,93,0,,0,1,,,,,,,AS_NEW
27,1020,1,HOUSE,2000,2,3,150,0,,0,1,,1,600,648,3,0,GOOD
28,1050,2,APARTMENT,3500,2,4,238,0,,1,1,28,,,,2,,JUST_RENOVATED
29,9000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
30,8300,1,HOUSE,3695000,1,4,222,1,,0,,,,,515,3,,GOOD
31,4783,1,HOUSE,99000,1,3,,,,0,,,,,310,3,,TO_RENOVATE
32,9000,2,APARTMENT,1350,2,2,106,1,,0,1,23,,,,2,,AS_NEW
33,1180,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
34,5190,2,APARTMENT,630,2,1,63,0,,0,,,,,,,,
35,1200,2,APARTMENT,1500,2,2,110,0,,1,1,11,,,,4,,GOOD
36,6660,1,HOUSE,600,2,2,,0,,0,,,,,0,3,,
37,3000,1,HOUSE,2000,2,5,152,0,,0,1,8,1,350,350,2,0,AS_NEW
38,1000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
39,6060,2,APARTMENT,600,2,2,65,0,0,0,,,,,,3,,
40,9800,2,PENTHOUSE,1100,2,2,114,0,0,0,1,73,,,,2,0,
41,1050,2,APARTMENT,1475,2,2,110,,0,0,,,,,,,0,AS_NEW
42,1060,2,DUPLEX,1500,2,1,70,0,1,0,,,,,,2,0,AS_NEW
43,9051,2,APARTMENT,365000,1,3,126,0,,1,1,6,,,,4,,GOOD
44,3630,2,PENTHOUSE,365000,1,2,99,0,,0,1,,,,,,,
45,9000,2,APARTMENT,379000,1,2,63,0,,0,,,,,,,,GOOD
46,9240,1,HOUSE,265000,1,2,163,,,0,1,10,,,110,3,,GOOD
47,2580,1,HOUSE,530000,1,4,224,,,0,,,,,326,,,GOOD
48,8020,1,HOUSE,480000,1,4,,0,,0,1,,,,266,4,,GOOD
49,3640,2,APARTMENT,212000,1,1,84,0,,0,1,11,,,,,,
50,1080,2,APARTMENT,224500,1,2,75,0,0,0,1,3,,,,2,0,GOOD
51,3800,2,APARTMENT,165000,1,2,70,,,0,,,,,,,,
52,1332,2,DUPLEX,900,2,1,62,0,0,0,1,30,,,,3,0,AS_NEW
53,9000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
54,1180,2,APARTMENT,1300,2,2,98,1,0,0,1,2,,,,2,0,JUST_RENOVATED
55,8000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
56,6000,2,KOT,425,2,1,170,1,1,0,1,20,1,65,,2,0,GOOD
57,1420,2,APARTMENT,340000,1,2,90,0,0,0,1,32,1,300,,3,0,GOOD
58,9660,1,MIXED_USE_BUILDING,349000,1,3,168,0,,0,,,,,932,4,,TO_BE_DONE_UP
59,1050,2,APARTMENT,1600,2,3,103,1,,0,1,,,,,2,0,AS_NEW
60,8020,1,HOUSE,359000,1,3,141,0,,0,,,,,365,,,TO_BE_DONE_UP
61,3090,2,KOT,575,2,1,350,1,1,0,1,100,1,1000,,4,0,JUST_RENOVATED
62,1050,2,GROUND_FLOOR,3500,2,2,189,1,0,0,1,10,1,35,,2,1,AS_NEW
63,2880,2,DUPLEX,695,2,1,71,0,,0,,,,,,2,,GOOD
64,2610,2,APARTMENT,1180,2,2,85,,,0,1,14,,,,,,
65,6000,2,APARTMENT,850,2,2,78,0,,0,,,,,,2,,
66,1050,2,APARTMENT,1450,2,2,106,1,0,0,,,,,,2,0,AS_NEW
67,8530,2,APARTMENT,925,2,2,100,,0,0,1,,,,,3,0,
68,9600,2,APARTMENT,650,2,2,67,0,,0,1,,,,,2,,GOOD
69,8830,2,TRIPLEX,1025,2,3,206,,0,0,1,,,,,,,AS_NEW
70,4650,,HOUSE_GROUP,,1,,,,,0,,,,,,,,
71,8610,1,HOUSE,289000,1,3,110,0,,0,,,,,148,,,GOOD
72,9950,1,HOUSE,850,2,3,172,,0,0,1,,,,294,4,,AS_NEW
73,4020,2,APARTMENT,725,2,1,70,0,0,0,,,,,,,0,GOOD
74,3190,1,VILLA,1295000,1,7,541,0,,1,1,65,1,3600,4292,4,1,GOOD
75,7500,2,APARTMENT,680,2,1,53,0,0,0,1,25,,,,2,0,GOOD
76,2440,2,APARTMENT,430700,1,3,139,0,,0,1,13,,,,2,,
77,8000,1,HOUSE,950,2,3,115,0,0,0,,,1,28,0,4,0,GOOD
78,1800,1,MIXED_USE_BUILDING,849000,1,6,560,1,0,0,,,,,345,2,0,
79,3500,2,APARTMENT,925,2,2,101,0,,0,1,,,,,,,GOOD
80,1050,2,APARTMENT,990,2,1,55,0,1,0,1,3,,,,2,0,AS_NEW
81,1000,,APARTMENT_GROUP,,1,,,,,0,,,,,,,,
82,8790,2,APARTMENT,725,2,2,84,0,0,0,,,,,,4,0,GOOD
83,3500,2,APARTMENT,895,2,2,88,1,0,0,1,30,,,,2,0,
84,2800,2,APARTMENT,349000,1,2,87,0,,0,1,12,,,,3,,AS_NEW
85,9000,2,APARTMENT,1650,2,2,119,,,0,1,29,,,,,,GOOD
